line	text
62	وفر مساعدتك لنفسك، أنت آخر شخص أخد منه مساعده لإنك أساسا محتاج اللى يساعدك، تعرف زمان وأنا صغير لما كنت بسمع أمي تدعي لك بالتوبه بالهدايه كنت ببقى نفسى أقولها مستحيل الشيطان ربنا يهديه، وكان نفسى أقولها أدعى عليه ربنا يحرمه من الملذات الحرام اللى مخلياه يفتري عليك بالضرب كل ليله، صحيح ربنا مستجابش لكل دعوتى بس إستجاب وحرمك من ملذة النسوان بقيت ضعيف، وجواك غضب أوعى تفكر أنا مكنتش عارف سبب ضربك كل ليله لأمى ليه بعد ما ترجع من عند الغوازي، عشان كنت بتظهر على حقيقتك معاها، الفلوس مكنتش هتعمي عنيها عن ضعفك قدامها زى الغوازي والغواني اللى كانت بتلهف فلوسك وتحسسك إنك جبار رغم أنهم عارفين آخرك تحسس بس بإيديك وتبص بعينيك عليهم، إنت فقدت قدرتك كراجل بعد ما خلفتني بخمس سنين بعد الحادثة اللى عملتها عالطريق وإنت راجع من القاهره سكران، من وقتها بقيت مجنون، ربنا حرمك من أكتر ملذه كنت بتحبها في حياتك، عارف ليه، عقاب على البطر اللى كنت ومازالت عايش فيه، أنا مش زى أمى وهدعى لك بالهدايه، لاء أنا هدعى ربنا يحرمك من بقية الملذات اللى بتحبها...
66	خير يا صالح أيه الموضوع المهم اللى عندك، مع إن مفيش موضوع أهم من زفاف زاهر إبنك.
67	المثل بيقول العروسه للعريس، زاهر آخر الليل هياخد مرته في حضنه وينسى الدنيا كلها، الموضوع اللى عاوز أتحدت فيه وياك أهم دلوك، بس لازمن جاويد يكون حاضر معانا.
68	موضوع أيه ده بجي.
69	إتصل بس جاويد وخليه يجي للدار دلوك نتحدت في الموضوع مباشر وهو معانا.
70	جاويد بيه إهنه في الدار أنا سيباه من هبابه في الجناح بتاعه مع الست سلوان.
71	طب كويس هتصل عليه وأجوله ينزل دلوك.
72	جاويد قال عشر دقايق ونازل، مش هتجولى أيه الموضوع الهام ده.
73	دلوك تعرف أما جاويد يجي.
74	زين إنك إهنه في الدار دلوك، محتاجك في أمر هام هيعلي من إسم ومكانة عيلة الأشرف.
75	وأيه هو الأمر ده بقى؟
76	أنا سبق وجولت لكم أنى جدمت أوراق ترشيحي لعضوية مجلس الشعب، وأها خلاص أتقبل الطلب وخلاص كلها تلات أربع شهور وأبقى عضو رسمي في البرلمان ووقتها هيبقى لأسم عيلة الاشرف
78	إنت بتتحدت كآن الإنتخابات إنتهت وإنت فوزت بالعضويه، ناسي إن في مرشحين تانين كمان.
79	كل المرشحين مقدور عليهم، دول ممكن نراضيهم بالفلوس هما أساسا كل اللى يهمهم للفلوس دول بيجبوا داخلين يسترزقوا من تشتيت الاصوات، مفيش غير مرشح واحد هو اللى يتقلق منه، ولو ساعدتني وجتها هضمن الفوز من الجوله الاولى، وشوف بجي لما يبقى عضو مجلس الشعب من عيلة الأشرف وقتها هيسهل لك تعاملات كتير مع الدوله.
80	غير إن عضوية مجلس الشعب لما تكون ل خص من عيلة الأشرف هيبقى في إمتيازات كتيره و...
81	أنا مش محتاج ل عضوية برلمان عشان يبقى ليا إمتيازات خاصه وكبيره لإن آسم جاويد الاشرف نفسه إمتياز أى حد يتمني بس إنى أطلب منه خدمه.
82	ما اهو عشان إكده بطلب منك تساعدنى في الدعايه بتاعت الإنتخابات، بالك لو طلبت من عمال المصانع بتوعك اللى إهنه ينتخبوني، وجتها محدش هيقدر يوقف جدامي وهاخد العضويه بإكتساح.
83	متأسف يا عمي، سبق وقولت لك مقدرش أغصب عليهم كل واحد حر يختار اللى هو عاوز يرشحه.
84	يعني أيه، هتساند المرشح التانى وتنصره عليا.
85	برضوا لاء يا عمي، أنا ماليش في دهاليز لعبة الإنتخابات، مش بملك غير صوتي وبس وده هعطيه للى شايف إنه يستحق يبقى عضو في البرلمان.
86	وطبعا اللى يستحق يبقى عضو في البرلمان هو منافس عمك، عالعموم براحتك وأنا غلطان انا كان هدفى إنى أرفع من شآن عيلة الاشرف، أنا ماشى وفكر كويس في مصلحة العيله وبلاش تبجي جاحد، لإسم الاشرف.
88	مش عارف أيه اللى في دماغ صالح وعاوز يوصل له من حكاية عضوية البرلمان دى، فجأه كده طقت في رأسه.
89	أعتقد هو عنده هدف في راسه عاوز يوصل له زى مثلا صلاحيات عضو البرلمان عمي محتاج حصانه يداري فيها كلنا عارفين علاقته ببعض المشبوهين غير طبعا الغوازي.
90	ياما غلب أبوي فيه أنه يستقام ويبعد عن طريق الغوازي والمشبوهين اللى يعرفهم دول لكن هو مازال كيف ما كان بيقول عليه أبوي زرع شيطاني.
93	مساء الخير، قولى بقى كنت متصل عليا ليه وقولت أما أفضى اعدي عليك في المكتب.
94	مساء النور
96	فعلا، خلصت نبطشيتي، بس حاسه بإرهاق، وكنت هروح للبيت أخد راحه عشان أحضر زفاف إبن عمك الليله، أختى مبهوره كأنها أول مره تشوف فرح في حياتها.
97	عقبال ما تشوف فرح أختها قريب.
98	قولى كنت عاوزني في أيه، قولت محتاج إنفراد بعد ما أخلص نبطشيتي.
100	أيه اللى في الظرف ده، أوعى يكون صور جديده لينا.
101	لاء إطمني يا إيلاف، الصور خلاص بطلت، وكمان الظرف مختوم بختم خاص، إفتحي الظرف وشوفى اللى فيه.
102	دى دعوة لحضور مؤتمر طبي في هولندا.
103	أيوا الدعوة دى كان عندي علم بيها من قبل كده، لأن أحد الدكاترة المسؤلين عن المؤتمر كان بيشتغل معايا فترة ما كنت بشتغل في إنجلترا، وبينا تواصل عالنت سوا بنتشارك الأراء في بعض الابحاث الطبيه الحديثه.
104	طب ده شئ كويس ومفيد ليك ك طبيب، يزيدك خبره ومعرفه بنتايج الابحاث يزيدك كمان تقدم.
105	مش ده اللى عاوز أتكلم معاك فيه يا إيلاف، في موضوع تاني.
108	انا هغيب في المؤتمر ده حوالى شهر ونص، وكنت محتاج أسافر وأنا قلبي مطمن.
109	قلبك مطمن على أيه؟
110	قلبي مطمن على قلبي.
111	مش فاهمه يعني أيه
113	يعني عاوز أطمن إنك بتبادليني نفس المشاعر.
114	أنت إمبارح وافقتي على أمر طلب لإيدك، أنا خلاص حجزت تذكرة السفر ل هولندا بعد يومين، وهغيب شهر ونص، أنا كنت أتصلت على عم بليغ الصبح وطلبت منه يحدد ميعاد يستقبلنا أنا وبابا وماما عشان نتقدم رسمي، وهو من ذوقه قالي أى تشرفونا فيه بالزياره، بس أنا طماع وبفكر أحول الزياره دي لمناسبه خاصه ونخليها بدل طلب إيدك تبقى كتب كتابنا، والفرح نخليه بعدين لما أرجع من المؤتمر الطبي.
116	مسمعتش ردك أيه؟
117	تمام إتكلم مع بابا.
124	متفكريش إن عشان خلاص إرتبط إسمك بإسمي بورجة جواز يبجى تنسي نفسك إنت إهنه زيك زى الخدامه، لاه مش زي الخدامه إنت ضيفه لوجت وإن شاء الله هيبجى جصير، ممنوع ألمح وشك في الدار تلتزمي بمجعدك، واكلك وشربك بميعاد ويكون وأنا مش إهنه في الدار كيف ما جولت سابج مش عاوز ألمح حتى طرف چلابيتك، فهمتي.
125	فهمت أنا مش غبيه ومكنش له عازه حديتك ده كلياته، وزين انى مش خدامه ضهرى كان هيتجطم من تنظيف الدار دى، كفايه على أنضف مجعدى، ومتخافش أنا وشي مش عفش عشان تخاف منيه بس هجولك.
126	الرد يكون بكلمه واحده مش شريط وإتفتح، تجولى حاضر أو فاهمه مش موال هو.
128	هتبرطمي تجولى أيه، جولت مهحبش الرغي الكتير، حديتى واضح.
130	ردى عليا وجولى حاضر أو فاهمه.
131	حاضر، فاهمه، هلتزم بالجعاد في مجعدي بس إنت ناسي إن بكره الصباحيه وأبوي وخواتى، ومرت أبوى هيجوا عشان يصبحوا علي، أبجى انزلهم ولا أستجبلهم هنا في مجعدي الشرح ده و...
132	جولت بلاش رغي كتير، ووجت ما ابوك ومرته وخواتك يچوا يحلها ربنا.
135	هو ماله ده عالدوام متزرزر إكده، بس زين أنه سابلى الاوضه دى، أحسن برضك، أهو أخد راحتي، في الاوضه البرحه دي.
136	مرت أبوي يظهر جالها لطف في عقلها كيف هان عليها تعمل صنية الوكل دى.
138	مرت أبوي متفوتهاش قلة الادب، الوليه اللى معندهاش خيا ولا خيشا، الصبح تصحيني من النوم وتقعد تقولى نصايح قبيحه عشان أعملها مع جوزي، دلوك عرفت هي كيف بتسيطر على أبوي وانا اللى كنت بجول دى بتسحر له، بس طلعت قليلة الحيا وبتسحره بمفاتنها الخلابه، يلا ربنا يسهل لعبيده، لاه الوليه كمان مفكره انى هقبل ألبس القميص اللى مفيش فيه حته سليمه، وكله مقطع أشى من عالصدر والفخاد، ده أتكسف ألبسه قميص داخلى تحت الهدوم، انا هرميه في الزباله، بس ده ناعم جوي إكده وكمان لونه أحمر، خساره أكيد له لازمه.
139	خساره أمسح يدي في المفرش الى كان متغطي بيه صنية الوكل وكمان خشن، إنت إكده إكده متقطع وناعم يعنى مش خساره.
140	إنت بتعملي أيه عالأرض.
141	مش قبل ما تدخل للأوضه تخبط عالباب، وهكون بعمل أيه يعني باكل، واللى كمان الوكل حرم.
142	إنت وشك بياكل معاك زي المفاجيع اللى مشفوش وكل في حياتهم قبل إكده، كيف الجاموسه اللى بغيط برسيم.
143	إكده أهو نفسي إنسدت.
144	كويس إنها إنسدت قبل ما تخلصي الصنيه.
145	حتى الوكل إنت كمان هتستخسره فيا.
146	أنا ملقتش هدومى في اوضتي القديمه، يظهر الشغاله نقلتهم لإهنه، هاخد لى غيار وأسيبك تكملى نسف الصنيه، بس إبقى إشربي بيبسى أو فيروز بعدها، ولا أقولك مش هيأثر معاك خدي فوار.
147	حتى قميص النوم مسلمش منك عملتيه فوطه، يلا اسيبك تكملى وكل، بس مستنيسش الفوار.
150	مسك أيه اللى خرجك من الدار دلوك.
151	أنا جايه معاك يا ماما.
152	إنت عارفه أنا رايحه فين؟
153	أيوا يا ماما وهاجي معاك أنا عاوزه اتحدت مع الوليه العرافه دي، وأعرف إذا كانت صادقه ولا بتخرف.
154	لاه اوعاك تجولى ليها أكده لتاذيك، اجولك خليك إهنه.
155	لاه انا جايه معاك، وبلاش وقفتنا إكده لحد ياخد باله من الجيران.
156	كل مره كنت بتيجي لوحدك يا صفيه ليه جيبتي معاك بتك، إيه عاوزه تعطيها سرك.
157	لاه أنا اللى عاوزه أتحدت وياك مباشرة وأسألك ليه مفيش مره واحده عمل من اللى عملتيهم رفق وجاويد بجي من نصيب.
158	حظك إكده.
159	لاه ده مش حظي، بس طالما جاويد مش حاسس بقلبي وعذابه عاوزاه يتعذب زيي، وأكيد إنت عندك سحر أقوي وتقدري بيه، تبدلى حياة جاويد وتخلي سلوان تكرهه وتغور من إهنه بلا راجعه.
160	عيندي بس ده هيكلفكم كتير.
161	إطلب المبلغ اللى عاوزاه.
162	بس الطلب مش فلوس يا صفيه.
163	وأيه هو الطلب الغالى ده.
164	الطلب، دم.
165	والدم لازم يكون، دم بت بنوت، عذراء.
2	مساء الخير يا دكتوره، إنت نبطشية ليل ولا أيه.
3	لاء أنا كنت همشى دلوقتي، بس كويس إني إتقابلت مع حضرتك.
4	فعلا كويس أننا إتقابلنا، أظن ده وقت كافى للتفكير ومحتاج أخد قرارك عشان أبلغ الدكاتره اللى معايا.
5	بصراحه أنا فكرت وقررت إني أعتذر لأنى مش هقدر أوفق بين الدوام هنا والممارسه في مستشفى حضرتك، الشغل هنا في المستشفى مرهق وكمان بسبب إغترابي يعني فات أكتر من شهر ومدة التكليف سنه، وبعدها أكيد مش هفضل هنا في الأقصر وهتنقل لمكان تاني، يعني وجودي هيبقى مؤقت غير كمان أنا لسه دكتور مبتدأه وأنتم محتاجين أطباء أكفاء يكون عندهم خبره كويسه تفيد المستشفى بخبراتهم، أنا بعتذر منك.
6	براحتك طبعا، مع إن كنت أتمني تنصمي لإصطف المستشفى كان هيفدك خبره أكتر، بس مقدرش أضغط عليك في النهايه ده عمل فيه جزء كبير تطوعي ومحتاج لوقت، عالعموم أتمنالك التوفيق.
7	متشكره إنك قدرت موقفي، وبتمني لكم التوفيق.
8	واضح إن الدكتور جواد له تآثير على قرارك أنا شايفك خارجه من مكتبه...
9	رفضت الشغل في المستشفى.
10	أحسن أنها رفضت هي مفكره نفسها دكتورة عالميه، دى حتة دكتورة إمتياز.
11	هي فعلا دكتورة إمتياز، بس في عندها ميزه كان ممكن نستفاد منها مستقبلا.
12	وأيه هي الميزه دى بقى، قصدك إعجاب أو مشاعر جواد.
13	لاء ميزه تانيه أنا عرفتها بالصدفه، بعدين أقولك عليها، بس دلوقتي لازم نأدي المطلوب مننا جواد قافش في إدارة المستشفى سمعت أنه عطي لكام ممرضه ومعاهم كام إداري بالمستشفى لفت نظر، يعنى مركز أوي، لازم نخليه يهدي أعصابه شويه، لراحته وراحة اللى بيشتغلوا في المستشفى.
14	مفاجأه حلوه إنى أشوفك الليله، بقالك فتره مشغول عني.
15	في ضغط شغل الفتره دي في المصانع.
16	الفول السوداني الطازه تعرف إن كان إحساسي من الصبح إنك هتجيب لي لما إتصلت عليا الضهر وقولتلك إنى هفضل في المستشفى لحد المسا.
17	بصراحه انا أتأخرت وكنت متوقع الأقى مشيت، بس الفول السوداني كان من نصيبك.
18	فعلا أنا أتأخرت في المستشفى النهارده بس كان في حاله بتابعها غير عملت زي ما قولت لى أشاور الدكتور جواد في حكاية عرض الدكتور ناصف، والحمدلله أخدت القرار وانا مرتاحه.
19	الجو بدأ يبرد شويه خلاص الشتا عالأبواب، خلينا نتكلم وأنا بوصلك لدار المغتربات.
21	تعرف إنك لما وصلنتي يوم فرح أخو جواد لقدام باب دار المغتربات قولت المديره المره دى هتطردني رسمي، هي حذرتني قبل كده لما جواد وصلني، رغم أنها يومها شافتك بس مقالتش حاجه.
22	أنا راجل كبير مش شاب زى جواد، يعنى إنت بنت.
23	قصدي زي بنت، وكمان ملامحي إتبدلت وشاب عليها الزمن، وكمان راجل بسيط مفيش فيا ميزه تلفت النظر، إنما الدكتور جواد ربنا يحميه شباب ووسامه وواضح أنه مطمع، ربنا يرزقك على قد نيته الطيبه أنا أعرفه من وهو عمره عشر سنين أو أزيد شويه ومن أول ما شوفته وهو نفسه يبجي دكتور، وربنا حقق له أمنيته.
24	هو حضرتك مش من الأقصر ولا أيه؟
25	لاه مش من الأقصر، كلنا يا بت القدر بيودينا مكان ما يشاء، لو الحياه ماشيه حسب مشيئتنا مكنش حد إتغرب عن مكان أحبابه، وأختار يبعد عنهم.
26	أنا مش فاهمه قصدك أيه يا عم بليغ.
27	مفيش يا بت، السكه خلصت بسرعه خلاص وصلنا قدام دار المغتربات.
28	أنا هسافر حوالى يومين أو أكتر في بضاعه تبع المصنع وأنا اللى هسافر أشرف عليها في أسوان هبقى أتصل أطمن عليك.
29	ترجع بالسلامة، تصبح على خير.
30	أهلا يا دكتوره، كويس لحقتك قبل ما تنامى كان في أمر هام محتاجه أتحدت فيه وياك.
31	وأيه الأمر الهام ده.
32	شكلك مرهقه دلوقتي إدخلى خدي لك حمام دافى وبكره نتكلم تكوني فايقه أكتر.
34	حيره ملهاش تفسير غير أن بليغ أستحوز على قلبك يا إيلاف، وهو قالها لك إنت زي بنته.
36	أيه اللى طرقع ده.
37	معرفش ده صوت طرقعة إزاز جاي من ناحية العربيه.
39	أيه اللى حصل لإزاز العربيه، إزاي إزاز الكبوت كله سرطن بالشكل ده.
40	معرفش.
41	بس غريبه الإزاز مشرخ ومع ذالك متماسك في بعضه.
42	أوعى تلمس الازاز يا جاويد. لا تتعور.
44	قولتلك بلاش تلمس إزاز الكبوت، أهو صباعك أتعور.
47	ده خدش بسيط.
48	إنت شايف إنه خدش بسيط بس كان ممكن يكون أكبر لو الإزاز إتملك من بقية إيدك.
49	الجو بدأ يبرد خلينا ندخل للدار.
52	بس العيند والدلال أسوأ صفاتها.
53	لسه مكملتش شهر جواز وسايب العروسه وجاي هنا، أوعي تكون مش رافع راسنا، أخوك دكتور وممكن ينفعك ويتستر عليك.
54	لاء أخوك رجوله مش محتاج لسترك عليا، بس أيه عرفك إني هنا.
55	شوفت نور الاوضه وأنا بركن عربيتي، إستغربت قولت يمكن حد نسي نور الاوضه، وجابني الفضول، بس بصراحه مكنتش متوقع إنك تكون هنا، في الوقت ده، بس لاحظت حاجه وأنا بركن عربيتي جنب عربيتك، إزاز الكبوت كله مكسور، بصراحه قلقت عليك، بس قولت بلاش أزعج العروسه.
56	معرفش فجأه بعد ما ركنت العربيه سمعت تكسير الإزاز.
57	عادي بتحصل أوقات من تسلط الشمس مده كبيره الإزاز بيسرطن أو يمكن كان في شرخ وكمل، المهم إنك بخير، بس أيه اللزق الطبي اللى على صباعك ده.
58	جرح صغير، عادي إقعد نتكلم شويه، ولا إنت مرهق وعاوز تنام.
59	هو من ناحية مرهق فأنا مشطب، وعاوز أنام، بس عمليا النوم إتخلي عني من فتره، زيك كده بالظبط، رغم إن سلوان نايمه جنبك بس برضوا النوم هجرك.
60	برضوا الدكتوره مش واخده بالها منك، يمكن محتاجه إقتحام مفاجئ زي ما أنا عملت مع سلوان.
61	إقتحام!
63	بلاش إقتحام إسحر لها على ورق المحبه.
64	بتتريق عليا، تصدق حلال فيك اللى بتعمله سلوان، اللى واضح إن لغاية دلوقتي إنها لسه آنسه سلوان.
65	هو البيت كله عارف ولا أيه.
66	يا فضيحتك لو عمك صالح عرف هو كمان، لاء ولا عمتك صفيه هتشمت وتتشفى فيك وتقول الحمد لله ربنا بيحب بنت بدل ما كانت تتجوز من راجل معيوب.
67	معيوب في عينيها تفقعها، أنا الحمد لله تمام غايته سايب سلوان تتعود عليا بالراحه مش بالأقتحام، إنما إنت الدكتوره قدامك، لا عارف تتعامل معاها بالراحه ولا بالأقتحام، أقولك قوم نام وإحلم بالدكتوره.
68	وإنت لسه هتسهر تفكر في سلوان.
69	لاء هنزل أنام جنب سلوان، أهو نص العما ولا العما كله، أنا أرحم من غيري.
73	سلوان إصح أنت في كابوس.
75	إنت إمتى لبست هدومك.
76	عادي هقوم أقلعها تاني.
77	إنت فسرت سؤالى غلط على هواك أنا بس بسأل سؤال عادي، إنت أكيد كنت طلعت بره الجناح وأنا نايمه.
78	أبدا أنا نايم جنبك طول الليل وصحيت مفزوع بسبب كوابيسك، قولتلك بلاش تتقلي في العشا، أهو حلمتي بكابوس.
79	بس أنا متقلتش في العشا على فكره بالعكس قومت جعانه بسبب...
81	وأيه اللى خلاك مكملتيش عشا، كنت عاوزانى أعزمك عالعشا في المطعم اللى كنا بنتقابل فيه.
82	لاء طبعا، بس كنت بكلم بابا عالموبايل، خلاص أنا بقيت كويسه كابوس وعدى، هكمل نوم تانى.
83	يعني مش هرجع أصحي على صريخك تاني، بس أيه الكوابيس اللى بتشوفيها كتير دي، أنا بقول تخليك في حضني إحتياطي.
84	لاء أطمن مش هصرخ، وإبعد عني، وبعدين الكوابيس دى أنا حاسه إن إنت السبب فيها، نومك جانبي عالسرير.
85	يعني نومي جانبك بيجيب لك كوابيس.
86	أيوا، قبل كده مكنتش بحلم بكوابيس، وإبعد إيديك عني بقى.
87	أنا بقول تنامي يا سلوان، كفايه إنى هستحمل أنام بالبيجامه مع إنى سهل أقلعها وهي والبيجامه دي.
88	بطل قلة أدب لو سمحت.
89	نامي يا سلوان لأعرفك قلة الادب على حق، أنا صابر وساكت بمزاجي.
90	محدش قالك إصبر، ومتفكرش إنك...
96	أقعدي يا حسني الكلام اللى هقوله يخصك.
97	يمكن ثريا مقلتش ليك أنا مين، أنا الحجه يسريه وأبقى مرات عم زاهر الأشرف.
98	أنا قولت لك حقيقة اللى حصل.
99	وأنا مصدقاك يا حسني وعشان كده جيت النهارده عشان أطلب يده للجواز من زاهر.
100	ده شئ مستحيل، لاء أول المستحيلات أنا أتعاملت مع اللى إسمه زاهر كم مره مفيش مره إتحدت فيها وياي بطريجه حلوه، ده شخص ميتعاشرش.
102	إنت نبطشية ليل الليله ولا أيه.
103	أيوا، كويس إنى إتقابلت معاك كنت عاوزه منك خدمه خاصه ليا.
104	خدمه خاصه، بس أحب أقولك معنديش وسايط.
105	لاء متخافش دي مش وسايط تقدر تقول خدمه إنسانيه.
106	وأيه هي الخدمه الإنسانيه دي.
107	الحق يا دكتور جواد في مشكله في غرفة الإستقبال بتاع المستشفى.
109	في أيه أيه اللى بيحصل هنا.
110	الست دى معاها تحويل طبي وحالتها تستلزم حجزها في المستشفى.
111	تمام وأيه المشكله في كده، لازمته أيه الزعيق ده وممكن تديني جواب تحويل الدكتور اللى معاك.
112	الدكتور ناصف هو اللى حولنا لهنا حتى قال أنه هيسبقنا على هنا عشان يتابع حالة أمي بنفسه.
113	تمام ممكن أشوف التحويل، يمكن أنا اللى أتابع حالة المريضه بنفسي.
114	تمام، ياريت كل اللى في الاوضه يطلعوا بره، أنا اللى هكشف عالمريضه بنفسي وأشخص حالتها.
115	زمان الدكتور ناصف هيوصل وهو اللى متابع حالة أمى.
116	أنا مدير المستشفى، وقولت الكل يطلع بره مش عاوز في الاوضه غير المريضه والا هرفض إستقبالها وهنادي للآمن يخرجك إنت وهي بره المستشفى.
117	تمام يا دكتور.
119	لو سمحت يا دكتوره ممكن تتفضلى تسيبنى مع المريضه.
126	ليه رفضت تستقبل الست تتعالج في المستشفى، ده يعتبر تعسف منك.
127	فعلا ده تعسف منك يا دكتور أنا متابع حالة الست من فتره وهي محتاجه تتعالج، وإمكانياتها بسيطه.
128	ليه رافض إن الست تدخل للمستشفى.
129	عشان خاطر أنا اللى محولها للعلاج هنا، عاوز يعمل نفسه أنه الوحيد اللى بيعمل خير، وبيساعد المرضى المحتاجين.
130	فعلا ده تعسف منك، الست مش قادره تقف على رجليها.
131	تمام أنا هأذن بدخول الست للمستشفى بس مش قبل ما يتم عليها الكشف من دكتور تاني، وإنت اللى هتبقى المسؤوله عنها.
132	. خليني أنا أكشف عالمريضه أنا عارف تشخيص حالتها كويس.
133	لاء أنا اللى هكشف عليها وهقدم التقرير الازم بحالتها.
136	أيه المفارش المفروشه عالأرض دى.
137	أنا هنام عليها، عشان لما بنام جنبك بحلم بكوابيس.
138	تعرفى إنى وأنا نايم بتقلب كتير عالسرير و وممكن أقع من عالسرير.
139	إطفي نور الاوضه.
141	ليه سايب نور في الاوضه.
142	سايبه عشان لما تحلمي بكوابيس.
145	أي.
146	أنا سيبت لك السرير تنام عليه لوحدك.
147	وأنا حذرتك وقولت لك إني بتقلب كتير وأنا نايم وممكن أقع من فوق السرير عالأرض.
148	تقع عالأرض مش تقع فوقى، بعدين قوم من فوقي أنا متأكده إنك قاصد تقع فوقي.
149	سيب إيديا وقوم من فوقى ومتفكرش مهما تعمل حركاتك مفضوحه وعمرك ما هتوصل للهدف اللى في دماغك.
152	أنا سهل عليا أخد جسمك يا سلوان وهيبقى برضاك، بس أنا عاوز ده قبل ده.
154	موهوم طماع.
4	الجرح اللى معصم أيد الحج كبير ولازم يتخيط مش اقل من خمستاشر غرزه.
5	بس الدكتور جواد مش في المستشفى جدامه نص ساعه ويوصل هو مواعيده مظبوطه ومفيش ولا دكتور هنا، إدلى ياعم أى مستشفى خاصه أو مستوصف، او حتى عيادة دكتور.
